text,opinion,source,target,expression,polarity
"Власти подозревают их в нападении на отель, где в середине июля отдыхал президент Эрдоган.","{'Source': [['NULL'], ['0:0']], 'Target': [['Эрдоган'], ['82:89']], 'Polar_expression': [['нападении на отель'], ['24:42']], 'Polarity': 'NEG'}",NULL,Эрдоган,нападении на отель,NEG
"Турецкие силовики в понедельник задержали 11 военнослужащих по подозрению в нападении на отель, где во время попытки переворота в середине июля находился президент Реджеп Тайип Эрдоган.","{'Source': [['Турецкие силовики'], ['0:17']], 'Target': [['военнослужащих'], ['45:59']], 'Polar_expression': [['подозрению'], ['63:73']], 'Polarity': 'NEG'}",Турецкие силовики,военнослужащих,подозрению,NEG
"Турецкие силовики в понедельник задержали 11 военнослужащих по подозрению в нападении на отель, где во время попытки переворота в середине июля находился президент Реджеп Тайип Эрдоган.","{'Source': [['Турецкие силовики'], ['0:17']], 'Target': [['военнослужащих'], ['45:59']], 'Polar_expression': [['попытки переворота'], ['109:127']], 'Polarity': 'NEG'}",Турецкие силовики,военнослужащих,попытки переворота,NEG
"Турецкие силовики в понедельник задержали 11 военнослужащих по подозрению в нападении на отель, где во время попытки переворота в середине июля находился президент Реджеп Тайип Эрдоган.","{'Source': [['Турецкие силовики'], ['0:17']], 'Target': [['военнослужащих'], ['45:59']], 'Polar_expression': [['нападении на отель'], ['76:94']], 'Polarity': 'NEG'}",Турецкие силовики,военнослужащих,нападении на отель,NEG
"Турецкие силовики в понедельник задержали 11 военнослужащих по подозрению в нападении на отель, где во время попытки переворота в середине июля находился президент Реджеп Тайип Эрдоган.","{'Source': [['военнослужащих'], ['45:59']], 'Target': [['Реджеп Тайип Эрдоган'], ['164:184']], 'Polar_expression': [['нападении на отель'], ['76:94']], 'Polarity': 'NEG'}",военнослужащих,Реджеп Тайип Эрдоган,нападении на отель,NEG
"Им предшествовали аресты нескольких других солдат, обвиняемых в попытке сместить Эрдогана.","{'Source': [['NULL'], ['0:0']], 'Target': [['солдат'], ['43:49']], 'Polar_expression': [['аресты'], ['18:24']], 'Polarity': 'NEG'}",NULL,солдат,аресты,NEG
"Им предшествовали аресты нескольких других солдат, обвиняемых в попытке сместить Эрдогана.","{'Source': [['солдат'], ['43:49']], 'Target': [['Эрдогана'], ['81:89']], 'Polar_expression': [['попытке сместить Эрдогана'], ['64:89']], 'Polarity': 'NEG'}",солдат,Эрдогана,попытке сместить Эрдогана,NEG
"Им предшествовали аресты нескольких других солдат, обвиняемых в попытке сместить Эрдогана.","{'Source': [['Эрдогана'], ['81:89']], 'Target': [['солдат'], ['43:49']], 'Polar_expression': [['обвиняемых'], ['51:61']], 'Polarity': 'NEG'}",Эрдогана,солдат,обвиняемых,NEG
"В воскресенье правительство уволило около 1400 военных, включая высшего военного советника Эрдогана.","{'Source': [['правительство'], ['14:27']], 'Target': [['военных'], ['47:54']], 'Polar_expression': [['уволило'], ['28:35']], 'Polarity': 'NEG'}",правительство,военных,уволило,NEG
"В воскресенье правительство уволило около 1400 военных, включая высшего военного советника Эрдогана.","{'Source': [['правительство'], ['14:27']], 'Target': [['высшего военного советника Эрдогана'], ['64:99']], 'Polar_expression': [['уволило'], ['28:35']], 'Polarity': 'NEG'}",правительство,высшего военного советника Эрдогана,уволило,NEG
Президент также назначил гражданское руководство вооруженных сил страны.,"{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"Более 50 тысяч турецких граждан потеряли работу в связи с попыткой переворота, в организации которого правительство обвинило исламского проповедника Фетхуллу Гюлена.","{'Source': [['правительство'], ['102:115']], 'Target': [['Фетхуллу Гюлена'], ['149:164']], 'Polar_expression': [['обвинило'], ['116:124']], 'Polarity': 'NEG'}",правительство,Фетхуллу Гюлена,обвинило,NEG
"Гюлен является оппонентом Эрдогана, который около 20 лет проживает в США и отрицает свою причастность к бунту.","{'Source': [['Гюлен'], ['0:5']], 'Target': [['Эрдогана'], ['26:34']], 'Polar_expression': [['оппонентом'], ['15:25']], 'Polarity': 'NEG'}",Гюлен,Эрдогана,оппонентом,NEG
"Гюлен является оппонентом Эрдогана, который около 20 лет проживает в США и отрицает свою причастность к бунту.","{'Source': [['Эрдогана'], ['26:34']], 'Target': [['Гюлен'], ['0:5']], 'Polar_expression': [['оппонентом'], ['15:25']], 'Polarity': 'NEG'}",Эрдогана,Гюлен,оппонентом,NEG
"Турция потребовала, чтобы США экстрадировали 75-летнего Гюлена, и направила американским властям документы, якобы указывающие на его причастность к перевороту.","{'Source': [['Турция'], ['0:6']], 'Target': [['Гюлена'], ['56:62']], 'Polar_expression': [['потребовала'], ['7:18']], 'Polarity': 'NEG'}",Турция,Гюлена,потребовала,NEG
"Турция потребовала, чтобы США экстрадировали 75-летнего Гюлена, и направила американским властям документы, якобы указывающие на его причастность к перевороту.","{'Source': [['NULL'], ['0:0']], 'Target': [['Гюлена'], ['56:62']], 'Polar_expression': [['экстрадировали'], ['30:44']], 'Polarity': 'NEG'}",NULL,Гюлена,экстрадировали,NEG
Глава Объединенного комитета начальников штабов ВС США генерал Джозеф Данфорд в понедельник прибывает в Турцию в рамках поездки по оценке ситуации в борьбе с группировкой «Исламское государство».,"{'Source': [['Джозеф Данфорд'], ['63:77']], 'Target': [['Исламское государство'], ['172:193']], 'Polar_expression': [['борьбе'], ['149:155']], 'Polarity': 'NEG'}",Джозеф Данфорд,Исламское государство,борьбе,NEG
"Возглавляемая США коалиция, наносящая удары по боевикам, около года назад получила от Эрдогана разрешение на использование авиабазы «Инджирлик» на юге Турции.","{'Source': [['США'], ['14:17']], 'Target': [['боевикам'], ['47:55']], 'Polar_expression': [['удары'], ['38:43']], 'Polarity': 'NEG'}",США,боевикам,удары,NEG
"Турецкие власти в понедельник вызвали временного поверенного в делах Германии, после того как германский суд не разрешил транслировать обращение Эрдогана к участникам митинга в Кельне в воскресенье, собравшего десятки тысяч его сторонников.","{'Source': [['германский суд'], ['94:108']], 'Target': [['Эрдогана'], ['145:153']], 'Polar_expression': [['не разрешил транслировать'], ['109:134']], 'Polarity': 'NEG'}",германский суд,Эрдогана,не разрешил транслировать,NEG
"Турецкие власти в понедельник вызвали временного поверенного в делах Германии, после того как германский суд не разрешил транслировать обращение Эрдогана к участникам митинга в Кельне в воскресенье, собравшего десятки тысяч его сторонников.","{'Source': [['Турецкие власти'], ['0:15']], 'Target': [['германский суд'], ['94:108']], 'Polar_expression': [['вызвали временного поверенного в делах'], ['30:68']], 'Polarity': 'NEG'}",Турецкие власти,германский суд,вызвали временного поверенного в делах,NEG
Американец из Северной Каролины обвиняется в оказании помощи ИГИЛ,"{'Source': [['Американец'], ['0:10']], 'Target': [['ИГИЛ'], ['61:65']], 'Polar_expression': [['помощи'], ['54:60']], 'Polarity': 'POS'}",Американец,ИГИЛ,помощи,POS
Американец из Северной Каролины обвиняется в оказании помощи ИГИЛ,"{'Source': [['NULL'], ['0:0']], 'Target': [['Американец'], ['0:10']], 'Polar_expression': [['оказании помощи ИГИЛ'], ['45:65']], 'Polarity': 'NEG'}",NULL,Американец,оказании помощи ИГИЛ,NEG
Американец из Северной Каролины обвиняется в оказании помощи ИГИЛ,"{'Source': [['NULL'], ['0:0']], 'Target': [['Американец'], ['0:10']], 'Polar_expression': [['обвиняется'], ['32:42']], 'Polarity': 'NEG'}",NULL,Американец,обвиняется,NEG
"Как сообщило министерство юстиции США, американец из штата Северная Каролина был арестован в четверг по обвинению в заговоре с целью оказания материальной поддержки террористической организации «Исламское государство».","{'Source': [['министерство юстиции США'], ['13:37']], 'Target': [['американец'], ['39:49']], 'Polar_expression': [['арестован'], ['81:90']], 'Polarity': 'NEG'}",министерство юстиции США,американец,арестован,NEG
"Как сообщило министерство юстиции США, американец из штата Северная Каролина был арестован в четверг по обвинению в заговоре с целью оказания материальной поддержки террористической организации «Исламское государство».","{'Source': [['министерство юстиции США'], ['13:37']], 'Target': [['американец'], ['39:49']], 'Polar_expression': [['заговоре с целью оказания материальной поддержки террористической организации'], ['116:193']], 'Polarity': 'NEG'}",министерство юстиции США,американец,заговоре с целью оказания материальной поддержки террористической организации,NEG
"Как сообщило министерство юстиции США, американец из штата Северная Каролина был арестован в четверг по обвинению в заговоре с целью оказания материальной поддержки террористической организации «Исламское государство».","{'Source': [['американец'], ['39:49']], 'Target': [['Исламское государство'], ['195:216']], 'Polar_expression': [['поддержки'], ['155:164']], 'Polarity': 'POS'}",американец,Исламское государство,поддержки,POS
"Как сообщило министерство юстиции США, американец из штата Северная Каролина был арестован в четверг по обвинению в заговоре с целью оказания материальной поддержки террористической организации «Исламское государство».","{'Source': [['AUTHOR'], ['NULL']], 'Target': [['Исламское государство'], ['195:216']], 'Polar_expression': [['террористической'], ['165:181']], 'Polarity': 'NEG'}",AUTHOR,Исламское государство,террористической,NEG
36-летний Эрик Хендрикс обвиняется в попытке вербовки людей для подготовки и проведения терактов в Соединенных Штатах от имени ИГИЛ.,"{'Source': [['Соединенных Штатах'], ['99:117']], 'Target': [['ИГИЛ'], ['127:131']], 'Polar_expression': [['попытке вербовки людей для подготовки и проведения терактов'], ['37:96']], 'Polarity': 'NEG'}",Соединенных Штатах,ИГИЛ,попытке вербовки людей для подготовки и проведения терактов,NEG
36-летний Эрик Хендрикс обвиняется в попытке вербовки людей для подготовки и проведения терактов в Соединенных Штатах от имени ИГИЛ.,"{'Source': [['Соединенных Штатах'], ['99:117']], 'Target': [['Эрик Хендрикс'], ['10:23']], 'Polar_expression': [['попытке вербовки людей для подготовки и проведения терактов'], ['37:96']], 'Polarity': 'NEG'}",Соединенных Штатах,Эрик Хендрикс,попытке вербовки людей для подготовки и проведения терактов,NEG
36-летний Эрик Хендрикс обвиняется в попытке вербовки людей для подготовки и проведения терактов в Соединенных Штатах от имени ИГИЛ.,"{'Source': [['Соединенных Штатах'], ['99:117']], 'Target': [['Эрик Хендрикс'], ['10:23']], 'Polar_expression': [['обвиняется'], ['24:34']], 'Polarity': 'NEG'}",Соединенных Штатах,Эрик Хендрикс,обвиняется,NEG
36-летний Эрик Хендрикс обвиняется в попытке вербовки людей для подготовки и проведения терактов в Соединенных Штатах от имени ИГИЛ.,"{'Source': [['Эрик Хендрикс'], ['10:23']], 'Target': [['ИГИЛ'], ['127:131']], 'Polar_expression': [['от имени'], ['118:126']], 'Polarity': 'POS'}",Эрик Хендрикс,ИГИЛ,от имени,POS
36-летний Эрик Хендрикс обвиняется в попытке вербовки людей для подготовки и проведения терактов в Соединенных Штатах от имени ИГИЛ.,"{'Source': [['AUTHOR'], ['NULL']], 'Target': [['Эрик Хендрикс'], ['10:23']], 'Polar_expression': [['попытке вербовки людей для подготовки и проведения терактов'], ['37:96']], 'Polarity': 'NEG'}",AUTHOR,Эрик Хендрикс,попытке вербовки людей для подготовки и проведения терактов,NEG
"По данным следствия, в 2015 году Хендрикс связался через социальные сети с конфиденциальным осведомителем, сообщив, что «ему нужны люди», и что он «хотел бы, чтобы братья тренировались вместе».","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"Кроме того, он, как сообщается, сообщил другому лицу о своем намерении создать «спящую ячейку», которая осуществляла бы теракты в Соединенных Штатах.","{'Source': [['NULL'], ['0:0']], 'Target': [['Соединенных Штатах'], ['130:148']], 'Polar_expression': [['теракты в Соединенных Штатах'], ['120:148']], 'Polarity': 'NEG'}",NULL,Соединенных Штатах,теракты в Соединенных Штатах,NEG
"В петиции говорится, что среди потенциальных объектов планируемой Хендриксом были военнослужащие, а также женщина, организовавшая конкурс «Нарисуй пророка Мухаммада».","{'Source': [['Хендриксом'], ['66:76']], 'Target': [['военнослужащие'], ['82:96']], 'Polar_expression': [['среди потенциальных объектов'], ['25:53']], 'Polarity': 'NEG'}",Хендриксом,военнослужащие,среди потенциальных объектов,NEG
"В петиции говорится, что среди потенциальных объектов планируемой Хендриксом были военнослужащие, а также женщина, организовавшая конкурс «Нарисуй пророка Мухаммада».","{'Source': [['Хендриксом'], ['66:76']], 'Target': [['женщина, организовавшая конкурс «Нарисуй пророка Мухаммада»'], ['106:165']], 'Polar_expression': [['среди потенциальных объектов'], ['25:53']], 'Polarity': 'NEG'}",Хендриксом,"женщина, организовавшая конкурс «Нарисуй пророка Мухаммада»",среди потенциальных объектов,NEG
"Согласно сообщению, Хендрикс находился в контакте с Элтоном Симпсоном, который в апреле 2015 года осуществил закончившуюся провалом попытку нападения на место проведения этого конкурса в Гарленде, штат Техас.","{'Source': [['Хендрикс'], ['20:28']], 'Target': [['Элтоном Симпсоном'], ['52:69']], 'Polar_expression': [['в контакте'], ['39:49']], 'Polarity': 'POS'}",Хендрикс,Элтоном Симпсоном,в контакте,POS
"Согласно сообщению, Хендрикс находился в контакте с Элтоном Симпсоном, который в апреле 2015 года осуществил закончившуюся провалом попытку нападения на место проведения этого конкурса в Гарленде, штат Техас.","{'Source': [['AUTHOR'], ['NULL']], 'Target': [['Элтоном Симпсоном'], ['52:69']], 'Polar_expression': [['нападения на место проведения'], ['140:169']], 'Polarity': 'NEG'}",AUTHOR,Элтоном Симпсоном,нападения на место проведения,NEG
"Если Хендрикс будет признан виновным, ему грозит до 15 лет лишения свободы.","{'Source': [['NULL'], ['0:0']], 'Target': [['Хендрикс'], ['5:13']], 'Polar_expression': [['виновным'], ['28:36']], 'Polarity': 'NEG'}",NULL,Хендрикс,виновным,NEG
У Хиллари Клинтон диагностировали пневмонию,"{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"Кандидат в президенты США от Демократической партии 68-летняя Хиллари Клинтон отменила предвыборное турне по Калифорнии и Неваде, которое должно было начаться в понедельник, 12 сентября 2016 года, после того, как врачи объявили о том, что диагностировали у Хиллари пневмонию.","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"Врач Хиллари Клинтон Лиза Бардек сообщила, что сейчас женщина находится под присмотров медиков и чувствует себя хорошо: У Клинтон был кашель, связанный с аллергиями.","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"В настоящее время у Хиллари Клинтон восстановлен баланс жидкости в организме, и она поправляется.","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
Хиллари не смогла без помощи охраны сесть в фургон и потеряла туфлю.,"{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"Первоначательно избирательный штаб Клинтон пытался скрыть её проблемы со здоровьем, объясняя случившееся тем, что женщина перегрелась.","{'Source': [['AUTHOR'], ['NULL']], 'Target': [['избирательный штаб Клинтон'], ['16:42']], 'Polar_expression': [['скрыть её проблемы со здоровьем'], ['51:82']], 'Polarity': 'NEG'}",AUTHOR,избирательный штаб Клинтон,скрыть её проблемы со здоровьем,NEG
"При этом, по сведениям агентства Reuters, диагноз Клинтон был поставлен ещё в пятницу, и был известен её команде.","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"Тем не менее, через пару часов после инцидента кандидат в президенты США вышла к журналистам из квартиры своей дочери Челси, объявила: «Я чувствую себя прекрасно!» и сфотографировалась с маленькой девочкой.","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"Эксперты сходятся во мнении, что инцидент со здоровье Хиллари Клинтон несомненно повлиляет на её шансы победить в президентской гонке, в которой она, на сегодня, считается фаворитом.","{'Source': [['Эксперты'], ['0:8']], 'Target': [['Хиллари Клинтон'], ['54:69']], 'Polar_expression': [['фаворитом'], ['172:181']], 'Polarity': 'POS'}",Эксперты,Хиллари Клинтон,фаворитом,POS
"Эксперты сходятся во мнении, что инцидент со здоровье Хиллари Клинтон несомненно повлиляет на её шансы победить в президентской гонке, в которой она, на сегодня, считается фаворитом.","{'Source': [['NULL'], ['0:0']], 'Target': [['Хиллари Клинтон'], ['54:69']], 'Polar_expression': [['инцидент со здоровье'], ['33:53']], 'Polarity': 'NEG'}",NULL,Хиллари Клинтон,инцидент со здоровье,NEG
Здоровье Хиллари вызывает всё больше вопросов.,"{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"На прошлой неделе на встрече с избирателями в Огайо она несколько минут не могла говорить из-за приступа кашля, после которого отшутилась: «Это была аллергия на моего соперника Дональда Трампа».","{'Source': [['NULL'], ['0:0']], 'Target': [['Дональда Трампа'], ['177:192']], 'Polar_expression': [['соперника'], ['167:176']], 'Polarity': 'NEG'}",NULL,Дональда Трампа,соперника,NEG
При этом кандидат от Республиканской партии Дональд Трамп не стал комментировать последний инцидент со здоровьем Хиллари Клинтон.,"{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"«Я ничего не знаю об этом, ничего не знаю», — заявил он журналистам.","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
Таким же образом поступил кандидат от Республиканской партии в вице-президенты США Майкл Пенс.,"{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
Представители республиканца намерены публично лишь «желать Клинтон скорой поправки» и «проявлять уважительное отношение» в связи с произошедшим.,"{'Source': [['Представители республиканца'], ['0:27']], 'Target': [['Клинтон'], ['59:66']], 'Polar_expression': [['уважительное отношение'], ['97:119']], 'Polarity': 'POS'}",Представители республиканца,Клинтон,уважительное отношение,POS
"По данным следствия Ахмад Рахами, подозреваемый в подготовке взрывов, прогремевших в минувшую субботу, 17 сентября 2016 года, в Нью-Йорке и Нью-Джерси, приобрел необходимые ему для теракта компоненты на eBay, а в качестве детонатора использовал сотовые телефоны, купленные в магазине, расположенном в 500 метрах от адреса, ранее указанного им как место проживания.","{'Source': [['AUTHOR'], ['NULL']], 'Target': [['Ахмад Рахами'], ['20:32']], 'Polar_expression': [['теракта'], ['181:188']], 'Polarity': 'NEG'}",AUTHOR,Ахмад Рахами,теракта,NEG
"По данным следствия Ахмад Рахами, подозреваемый в подготовке взрывов, прогремевших в минувшую субботу, 17 сентября 2016 года, в Нью-Йорке и Нью-Джерси, приобрел необходимые ему для теракта компоненты на eBay, а в качестве детонатора использовал сотовые телефоны, купленные в магазине, расположенном в 500 метрах от адреса, ранее указанного им как место проживания.","{'Source': [['NULL'], ['0:0']], 'Target': [['Ахмад Рахами'], ['20:32']], 'Polar_expression': [['подготовке взрывов'], ['50:68']], 'Polarity': 'NEG'}",NULL,Ахмад Рахами,подготовке взрывов,NEG
"По данным следствия Ахмад Рахами, подозреваемый в подготовке взрывов, прогремевших в минувшую субботу, 17 сентября 2016 года, в Нью-Йорке и Нью-Джерси, приобрел необходимые ему для теракта компоненты на eBay, а в качестве детонатора использовал сотовые телефоны, купленные в магазине, расположенном в 500 метрах от адреса, ранее указанного им как место проживания.","{'Source': [['NULL'], ['0:0']], 'Target': [['Ахмад Рахами'], ['20:32']], 'Polar_expression': [['подозреваемый'], ['34:47']], 'Polarity': 'NEG'}",NULL,Ахмад Рахами,подозреваемый,NEG
"По данным следствия Ахмад Рахами, подозреваемый в подготовке взрывов, прогремевших в минувшую субботу, 17 сентября 2016 года, в Нью-Йорке и Нью-Джерси, приобрел необходимые ему для теракта компоненты на eBay, а в качестве детонатора использовал сотовые телефоны, купленные в магазине, расположенном в 500 метрах от адреса, ранее указанного им как место проживания.","{'Source': [['NULL'], ['0:0']], 'Target': [['Нью-Йорке'], ['128:137']], 'Polar_expression': [['подготовке взрывов'], ['50:68']], 'Polarity': 'NEG'}",NULL,Нью-Йорке,подготовке взрывов,NEG
"По данным следствия Ахмад Рахами, подозреваемый в подготовке взрывов, прогремевших в минувшую субботу, 17 сентября 2016 года, в Нью-Йорке и Нью-Джерси, приобрел необходимые ему для теракта компоненты на eBay, а в качестве детонатора использовал сотовые телефоны, купленные в магазине, расположенном в 500 метрах от адреса, ранее указанного им как место проживания.","{'Source': [['NULL'], ['0:0']], 'Target': [['Нью-Джерси'], ['140:150']], 'Polar_expression': [['подготовке взрывов'], ['50:68']], 'Polarity': 'NEG'}",NULL,Нью-Джерси,подготовке взрывов,NEG
В обнародованном во вторник заявлении о возбуждении уголовного дела излагаются многочисленные обвинения против 28-летнего Ахмада Рахами.,"{'Source': [['NULL'], ['0:0']], 'Target': [['Ахмада Рахами'], ['122:135']], 'Polar_expression': [['обвинения'], ['94:103']], 'Polarity': 'NEG'}",NULL,Ахмада Рахами,обвинения,NEG
"Рахами был арестован в понедельник после перестрелки с полицией, в ходе которой он и двое полицейских получили ранения.","{'Source': [['полицией'], ['55:63']], 'Target': [['Рахами'], ['0:6']], 'Polar_expression': [['перестрелки'], ['41:52']], 'Polarity': 'NEG'}",полицией,Рахами,перестрелки,NEG
"Рахами был арестован в понедельник после перестрелки с полицией, в ходе которой он и двое полицейских получили ранения.","{'Source': [['полицией'], ['55:63']], 'Target': [['Рахами'], ['0:6']], 'Polar_expression': [['арестован'], ['11:20']], 'Polarity': 'NEG'}",полицией,Рахами,арестован,NEG
"Рахами был арестован в понедельник после перестрелки с полицией, в ходе которой он и двое полицейских получили ранения.","{'Source': [['Рахами'], ['0:6']], 'Target': [['полицией'], ['55:63']], 'Polar_expression': [['перестрелки'], ['41:52']], 'Polarity': 'NEG'}",Рахами,полицией,перестрелки,NEG
"Рахами был арестован в понедельник после перестрелки с полицией, в ходе которой он и двое полицейских получили ранения.","{'Source': [['полицейских'], ['90:101']], 'Target': [['Рахами'], ['0:6']], 'Polar_expression': [['получили ранения'], ['102:118']], 'Polarity': 'NEG'}",полицейских,Рахами,получили ранения,NEG
"Согласно документам дела, следствие полагает, что Рахами, используя на eBay аккаунт «Ahmad Rahami», в период между 20 июня и 10 августа приобрел лимонную кислоту, схемную плату, электрические воспламенители и сотни шарикоподшипников.","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"Все купленные им вещи были доставлены в город Перт Амбой, где Рахами работал вплоть до 12 сентября.","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"Шариковые подшипники были найдены в двух взрывных устройствах, изготовленных из скороварок, которые были заложены в субботу в четырёх кварталах друг от друга в нью-йоркском районе Челси.","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"Невзорвавшееся устройство было протестировано на отпечатки пальцев, в результате чего, согласно материалам следствия, было найдено 12 отпечатков пальцев Рахами.","{'Source': [['NULL'], ['0:0']], 'Target': [['Рахами'], ['153:159']], 'Polar_expression': [['было найдено 12 отпечатков пальцев Рахами'], ['118:159']], 'Polarity': 'NEG'}",NULL,Рахами,было найдено 12 отпечатков пальцев Рахами,NEG
"В рюкзаке было несколько взрывных устройств, одно из которых взорвалось, когда полиция пыталась обезвредить его при помощи специального робота.","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"Власти также связывают Рахами со взрывом бомбы в мусорной корзине, произошедшем в городе Сисайд Парк, штат Нью-Джерси в субботу утром.","{'Source': [['Власти'], ['0:6']], 'Target': [['Рахами'], ['23:29']], 'Polar_expression': [['взрывом бомбы в мусорной корзине'], ['33:65']], 'Polarity': 'NEG'}",Власти,Рахами,взрывом бомбы в мусорной корзине,NEG
Милицию предлагается переименовать в полицию,"{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
Федеральный закон «О полиции» готовится к принятию.,"{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"Ведь широко известно, что в Российской Империи полиция была отменена сразу после Февральской буржуазно-демократической революции.","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"Как переименование органов правопорядка повысит профессионализм, эффективность и честность работников милиции, не данном совещании не сообщается.","{'Source': [['NULL'], ['0:0']], 'Target': [['работников милиции'], ['91:109']], 'Polar_expression': [['честность'], ['81:90']], 'Polarity': 'POS'}",NULL,работников милиции,честность,POS
"Как переименование органов правопорядка повысит профессионализм, эффективность и честность работников милиции, не данном совещании не сообщается.","{'Source': [['NULL'], ['0:0']], 'Target': [['работников милиции'], ['91:109']], 'Polar_expression': [['эффективность'], ['65:78']], 'Polarity': 'POS'}",NULL,работников милиции,эффективность,POS
"Как переименование органов правопорядка повысит профессионализм, эффективность и честность работников милиции, не данном совещании не сообщается.","{'Source': [['NULL'], ['0:0']], 'Target': [['работников милиции'], ['91:109']], 'Polar_expression': [['профессионализм'], ['48:63']], 'Polarity': 'POS'}",NULL,работников милиции,профессионализм,POS
"Издание Фонтанка.ru провело опрос, с целью выяснить отношение общества к переименованию милиции.","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
Как отреагировали на подобное предложение президента основные политические силы нашей страны?,"{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"«Единая Россия» поддержала инициативу Д. Медведева, лидер ЛДПР В. Жириновский также одобрил переименование.","{'Source': [['Единая Россия'], ['1:14']], 'Target': [['Д. Медведева'], ['38:50']], 'Polar_expression': [['поддержала инициативу'], ['16:37']], 'Polarity': 'POS'}",Единая Россия,Д. Медведева,поддержала инициативу,POS
"«Единая Россия» поддержала инициативу Д. Медведева, лидер ЛДПР В. Жириновский также одобрил переименование.","{'Source': [['В. Жириновский'], ['63:77']], 'Target': [['Д. Медведева'], ['38:50']], 'Polar_expression': [['одобрил'], ['84:91']], 'Polarity': 'POS'}",В. Жириновский,Д. Медведева,одобрил,POS
Но ведь этот закон меняет не только наименование правоохранительных органов…,"{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
